"id","year","origin_id","destination_id","product_id","export_value","import_value"
1,1995,1,139,1097,6000,2000
2,1995,1,139,866,2974.948901,0
3,1995,1,139,951,2000,0
4,1995,1,139,261,8043742.4265,24374000
5,1995,1,139,629,33559.512815,0
6,1995,1,26,788,1830,0
7,1995,1,26,261,18711673.743,0
8,1995,1,69,264,1196580.2234,0
9,1995,1,69,92,2078192.37472,0
10,1995,1,69,261,4589265.1138,0
11,1995,1,28,684,7667,0
12,1995,1,28,261,29112583.738,0
13,1995,1,102,264,691183.99797,0
14,1995,1,102,261,198907.34573,0
15,1995,1,102,727,1573,171078
16,1995,1,162,1154,33255,0
17,1995,1,162,1157,11799,191638
18,1995,1,162,1160,18882,47868
19,1995,1,162,393,43068.912067,69584
20,1995,1,162,394,13973.767972,54076
